股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,最近25日曾涨停,25日内涨停次数,最近涨停日期,涨停板规则,涨停核验交易日数,25日最大单日涨幅,阶段2分,长期趋势证据,右上角位置证据,40日仍活证据,长期下降修复惩罚,二级结构延续贡献,阶段3分,生命周期标签,阶段3通过,阶段3风险提示,阶段3规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明,OpenAI生命周期资格,OpenAI结构成熟对齐,OpenAI基础资格,OpenAI过热排序惩罚,OpenAI前置对齐分,OpenAI输入排名,OpenAI输入资格,OpenAI输入上限,OpenAI实际输入数,OpenAI前置判定代码,OpenAI前置判定原因
001210,金房能源,29.2,0.032531824611032434,0.07313487688349873,0.03766879886282859,0.01919720767888311,0.6647662485746866,0.2253462022660513,0.8985695708712613,0.09259259259259259,-0.0673906100287448,0.16828358208955216,0.5502176233883553,4655447.2,9338957.7,0.49849751434252676,0.0303049959019978,0.06679430080881514,0.4537063122906186,True,0.017227933356965597,-0.005744525293319036,True,3,3,收敛较充分,-0.0673906100287448,0.899091343854615,0.027156324750245986,0.05353637728199945,0.03829590216944001,0.11057463094113262,0.0,27.0,26.8,0.08148148148148149,0.08955223880597019,True,1,2026-08-20,沪深主板10%,4,10.018484288354902,15,3,2,1,0,2.9402985074626864,8.940298507462686,右上角/高位趋势,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,1,True,,,96,1.2388059701492538,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,23.940298507462686,1,True,50,21,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名1/21，输入上限50只
002708,光洋股份,17.03,-0.01332560834298957,0.03778184034125531,0.11525867714472837,0.5300988319856244,0.7869884575026236,0.27374719521316404,0.4274937133277452,0.08523780111179734,-0.030734206033010802,0.4162520729684907,0.20477447836818252,35977479.2,55741336.6,0.6454362488322536,0.06963941449005259,0.10937601438105868,0.636697313246701,True,0.01998788612961855,0.036983998505697,True,3,3,收敛较充分,-0.030734206033010802,0.9397321428571429,0.1473421814996969,0.08555823633905124,0.034873373917710726,0.030363511435395507,-0.005837711617046049,16.19,14.97,0.0518838789376157,0.13760855043420173,True,3,2026-09-07,沪深主板10%,18,10.028248587570632,14,3,2,1,0,2.7761194029850746,8.776119402985074,右上角/高位趋势,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,2,True,,,96,1.2388059701492538,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,22.776119402985074,2,True,50,21,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名2/21，输入上限50只
001309,德明利,413.09,0.040712468193384144,0.025724430760062367,0.05568617429082545,-0.004890152245134005,0.033009077496311434,-0.5656256572029443,0.08283310178510561,0.09409448818897644,-0.0784383714445065,0.13999999999999999,0.6721034870641175,10176403.8,11244567.7,0.9050062280295579,0.06351595244346789,0.0680854421155537,0.9328859513854586,True,-0.00977305948146412,0.000428793083790735,True,3,3,收敛较充分,-0.5784795918367347,0.36117778303640846,0.014089831729677593,0.0076627437677943,-0.10198462505548056,0.02886114239531623,0.013444223645150855,381.0,381.0,0.08422572178477683,0.08422572178477683,True,1,2026-08-27,沪深主板10%,18,10.000255957408676,15,3,0,1,0,2.9402985074626864,6.940298507462686,中期上升趋势延续,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,20,True,,,96,1.2388059701492538,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,21.940298507462686,3,True,50,21,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名3/21，输入上限50只
688003,天准科技,83.7,0.030788177339901468,0.1021859362654729,0.11585121983735491,-0.015294117647058791,0.1281843914274161,-0.3456848030018762,0.40672268907563036,0.14867617107942957,-0.043319236484169577,0.1597222222222222,0.9308421145842548,3870281.0,4325105.0,0.894840934497544,0.01843364209716035,0.022204813500625958,0.8301642387872658,True,0.03309873521011841,0.02273017821073342,True,3,3,收敛较充分,-0.39347826086956517,0.39227756015668724,0.04445484323818438,0.016003640796967256,-0.06603600854440028,0.03939247119293854,0.0072202166064982976,73.65,72.0,0.13645621181262735,0.1625000000000001,True,1,2026-08-17,科创板20%,18,19.999999999999996,15,3,0,1,0,2.9402985074626864,6.940298507462686,中期上升趋势延续,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,20,True,,,96,1.2388059701492538,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,21.940298507462686,4,True,50,21,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名4/21，输入上限50只
300679,电连技术,45.39,0.025762711864406818,0.07178276269185369,0.055581395348837326,-0.11778425655976676,0.13873557451078788,-0.2862085233527284,0.3365724381625441,0.12475538160469653,-0.16192762186115206,0.25582548339117483,0.48765814863696333,17519463.4,17546660.7,0.9984500013726259,0.04836801604358555,0.04881234774482128,0.9908971454608456,True,0.026286509040333694,-0.000342168894566397,True,3,3,收敛较充分,-0.38827493261455526,0.3155143739605607,-0.018170019467877885,0.015872320861703093,-0.07071708227825169,0.0338130810909576,0.009115162294353052,40.88,40.34,0.11032289628180036,0.125185919682697,True,1,2026-08-17,创业板20%,18,20.004690431519712,14,3,0,1,0,2.7761194029850746,6.776119402985074,中期上升趋势延续,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,22,True,,,96,1.2388059701492538,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,20.776119402985074,5,True,50,21,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名5/21，输入上限50只
600378,昊华科技,48.0,0.017164653528289886,0.057501652346331866,0.049180327868852514,0.01608806096528359,0.09839816933638446,-0.2295345104333868,0.5355086372360844,0.13118527042577666,-0.12168344007319298,0.24544211485870546,0.5344855771850587,52069037.2,83265138.9,0.62534018303307,0.05152190198034575,0.07763176191621987,0.6636703935168718,True,0.01169715926132242,-0.0025197450610879857,True,3,3,收敛较充分,-0.4551645856980704,0.335101973138783,0.009325749371799974,0.010978213230408151,-0.05100365446745414,0.05159202259277129,-0.010309278350515427,43.45,43.45,0.10471806674338313,0.10471806674338313,True,2,2026-08-28,沪深主板10%,18,10.011350737797976,14,3,0,1,0,2.7761194029850746,6.776119402985074,中期上升趋势延续,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,22,True,,,96,1.2388059701492538,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,20.776119402985074,6,True,50,21,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名6/21，输入上限50只
603110,东方材料,25.13,-0.014896119168953503,0.10510114335971865,-0.02972972972972976,-0.014509803921568643,0.34169781099839813,0.07577054794520555,0.5570012391573729,0.16935483870967746,-0.06822395253985913,0.20348058902275765,0.8322898981324283,9711619.6,11670537.3,0.8321484564382481,0.0472106732817188,0.05799695290981514,0.8140198909265298,True,0.05189116333923005,0.002139037433155133,True,3,3,收敛较充分,-0.11824561403508771,0.7582496413199425,0.026028376033479628,0.008144566047340485,0.005434006455114382,0.06081693074403183,-0.021036229061160983,22.32,22.32,0.12589605734767018,0.12589605734767018,True,1,2026-08-17,沪深主板10%,18,9.992069785884228,12,3,2,1,0,1.8208955223880596,7.82089552238806,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,10,True,,,96,1.2388059701492538,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,19.82089552238806,7,True,50,21,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名7/21，输入上限50只
000026,飞亚达,19.79,0.048199152542372836,0.06857451403887693,0.0020253164556962577,-0.06474480151228734,0.24231010671688624,0.003549695740365122,0.38779803646563815,0.11611111111111111,-0.08591224018475752,0.19878183831672205,0.5841132776230269,6234940.6,10219385.0,0.6101091797598387,0.01710429166518525,0.026410974309447235,0.6476206240928805,True,0.00608909304561478,-0.008872839824606515,True,3,3,收敛较充分,-0.2840086830680174,0.46525885558583097,0.008176469089890226,0.01789445305654791,-0.015641427808131936,0.045470971938636806,0.038300104931794365,18.0,18.0,0.09944444444444445,0.09944444444444445,True,1,2026-08-17,沪深主板10%,18,9.990439770554493,13,3,0,1,0,2.3880597014925375,6.388059701492537,中期上升趋势延续,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,29,True,,,96,1.2388059701492538,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,19.388059701492537,8,True,50,21,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名8/21，输入上限50只
000620,盈新发展,3.2,0.01587301587301604,0.02893890675241173,0.07744107744107742,0.01587301587301604,0.18959107806691455,-0.0643274853801169,0.0847457627118644,0.06249999999999998,-0.1208791208791209,0.16610169491525414,0.37627551020408173,272051734.2,322418809.5,0.8437836943256872,0.06396397657137304,0.06901458581522642,0.9268182343747532,True,-0.0019035532994924331,0.013141025641025816,True,3,3,收敛较充分,-0.21760391198044005,0.646825396825397,-0.0045108103904184516,0.021640826873384977,0.008077194123705889,0.010771243285368381,0.0,3.04,2.98,0.05263157894736836,0.0738255033557047,True,2,2026-08-24,沪深主板10%,7,10.158730158730167,13,3,0,1,0,2.3880597014925375,6.388059701492537,中期上升趋势延续,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,29,True,,,96,1.2388059701492538,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,19.388059701492537,9,True,50,21,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名9/21，输入上限50只
300142,沃森生物,13.31,0.018362662586075107,0.01680672268907557,0.025423728813559254,-0.1732919254658386,0.11474036850921276,0.14053127677806354,0.11474036850921276,0.062155782848150994,-0.1928441479684656,0.09076803723816912,0.6847761033441593,58425308.2,85567456.4,0.6827982349607391,0.03436753143851305,0.05426237620448795,0.6333583938344111,True,-0.0028814073400059703,-0.0001517335558758326,True,3,3,收敛较充分,-0.2156747200942839,0.4125200642054576,-0.024229317107144044,0.0079087414999508,0.014763917802270932,0.02418749258961639,-0.010408921933085402,12.71,12.71,0.04720692368213997,0.04720692368213997,True,1,2026-08-20,创业板20%,18,19.999999999999996,13,3,0,1,0,2.3880597014925375,6.388059701492537,中期上升趋势延续,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,29,True,,,96,1.2388059701492538,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,19.388059701492537,10,True,50,21,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名10/21，输入上限50只
